2022-05-12 11:45:47.197[1652366747197] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 18.43 seconds (JVM running for 19.159)
2022-05-12 11:45:47.201[1652366747201] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:45:47.201[1652366747201] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:45:47.201[1652366747201] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:45:47.203[1652366747203] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:45:48.348[1652366748348] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:45:48.736[1652366748736] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:45:49.116[1652366749116] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:51:51.630[1652367111630] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Starting BotBinanceApplication using Java 11.0.13 on AR0C02FL0P1ML85 with PID 26946 (/Users/ogarciamende/Proyects/oliber/botBinance/target/classes started by ogarciamende in /Users/ogarciamende/Proyects/oliber/botBinance)
2022-05-12 11:51:51.632[1652367111632] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - The following profiles are active: local
2022-05-12 11:51:52.710[1652367112710] | INFO  | main       | c.o.b.b.botbinance.config.TaskConfig - ThreadPoolTaskExecutor set
2022-05-12 11:51:53.006[1652367113006] | INFO  | main       | o.s.b.w.e.netty.NettyWebServer       - Netty started on port 8085
2022-05-12 11:51:53.019[1652367113019] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 1.692 seconds (JVM running for 2.809)
2022-05-12 11:51:53.020[1652367113020] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:51:53.020[1652367113020] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:51:53.021[1652367113021] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
