
2022-05-01 17:15:28.459[1651436128459] | INFO  | Thread-28  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=AIONUSDT&interval=1m
2022-05-01 17:15:28.459[1651436128459] | INFO  | Thread-29  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=CFXUSDT&interval=1m
2022-05-01 17:15:28.459[1651436128459] | INFO  | Thread-30  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=UNFIUSDT&interval=1m
2022-05-01 17:15:28.459[1651436128459] | INFO  | Thread-31  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=QUICKUSDT&interval=1m
2022-05-01 17:15:28.459[1651436128459] | INFO  | Thread-32  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RENUSDT&interval=1m
2022-05-01 17:15:28.460[1651436128460] | INFO  | Thread-33  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BUSDUSDT&interval=1m
2022-05-01 17:15:28.460[1651436128460] | INFO  | Thread-34  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BCHUSDT&interval=1m
2022-05-01 17:15:28.460[1651436128460] | INFO  | Thread-35  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MOVRUSDT&interval=1m
2022-05-01 17:15:28.460[1651436128460] | INFO  | Thread-36  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SHIBUSDT&interval=1m
2022-05-01 17:15:28.460[1651436128460] | INFO  | Thread-37  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=THETAUSDT&interval=1m
2022-05-01 17:15:28.460[1651436128460] | INFO  | Thread-38  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=COMPUSDT&interval=1m
2022-05-01 17:15:28.460[1651436128460] | INFO  | Thread-39  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FETUSDT&interval=1m
2022-05-01 17:15:28.461[1651436128461] | INFO  | Thread-40  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MLNUSDT&interval=1m
2022-05-01 17:15:28.461[1651436128461] | INFO  | Thread-41  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ZILUSDT&interval=1m
2022-05-01 17:15:28.461[1651436128461] | INFO  | Thread-42  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=PSGUSDT&interval=1m
2022-05-01 17:15:28.461[1651436128461] | INFO  | Thread-43  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ILVUSDT&interval=1m
2022-05-01 17:15:28.461[1651436128461] | INFO  | Thread-44  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FUNUSDT&interval=1m
2022-05-01 17:15:28.461[1651436128461] | INFO  | Thread-45  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=HIGHUSDT&interval=1m
2022-05-01 17:15:28.461[1651436128461] | INFO  | Thread-46  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ETCUSDT&interval=1m
2022-05-01 17:15:28.462[1651436128462] | INFO  | Thread-47  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ALPINEUSDT&interval=1m
2022-05-01 17:15:28.462[1651436128462] | INFO  | Thread-48  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=KAVAUSDT&interval=1m
2022-05-01 17:15:28.462[1651436128462] | INFO  | Thread-49  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RAMPUSDT&interval=1m
2022-05-01 17:15:28.462[1651436128462] | INFO  | Thread-50  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BNXUSDT&interval=1m
2022-05-01 17:15:28.462[1651436128462] | INFO  | Thread-51  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=LTCUSDT&interval=1m
2022-05-01 17:15:28.462[1651436128462] | INFO  | Thread-52  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=WINGUSDT&interval=1m
2022-05-01 17:15:28.462[1651436128462] | INFO  | Thread-53  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FLOWUSDT&interval=1m
2022-05-01 17:15:28.467[1651436128467] | INFO  | Thread-54  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MULTIUSDT&interval=1m
2022-05-01 17:15:28.467[1651436128467] | INFO  | Thread-55  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ATOMUSDT&interval=1m
2022-05-01 17:15:28.468[1651436128468] | INFO  | Thread-56  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=GTCUSDT&interval=1m
